Index,Descriptor,Item,Shape
1,,table top,round
2,,top,round
3,,pot,round
4,,nose,round
5,,mirror,round
6,,door,square
7,,receptacle,round
8,,clock,round
9,,coffee table,round
10,,sewer,round
11,,planter,round
12,,tile,square
13,,glass,round
14,,chair,round
15,,lemon,round
16,,ceiling light,round
17,,fence,square
18,,emblem,round
19,,grate,round
20,,drain,round
21,,lamp shade,round
22,,wooden table,round
23,,tree,round
24,,tower,round
25,,manhole cover,round
26,,front tire,round
27,,bucket,round
28,,phone,square
29,,petal,oval
30,,life saver,round
31,,log,round
32,,logo,round
33,,comforter,round
34,,hubcap,round
35,,sticker,round
36,,faucet,round
37,,knee,round
38,,front headlight,round
39,,card,square
40,,spoon,round
41,,stem,round
42,,mousepad,round
43,,bus,square
44,,banana,round
45,,container,round
46,,cd,round
47,,pizza,round
48,,green ball,round
49,,line,round
50,,drawer,rectangle
51,,sunglass,oval
52,,stove,round
53,,exercise ball,round
54,,white plate,round
55,,hexagon shape,polygon
56,,gauge,round
57,,train,round
58,,item,round
59,,vase,round
60,,pupil,oval
61,,apple,round
62,,keyhole,round
63,,floor,square
64,,sprinkle,star
65,,tail,round
66,,indentation,oval
67,,corner,square
68,,knot,round
69,,luggage,round
70,,piece,square
71,,tablecloth,square
72,,block,square
73,,meat,round
74,,bracelet,rhombus
75,,soap,round
76,,sculpture,round
77,,metal,round
78,,cheese pizza,round
79,,step,round
80,,magnet,square
81,,blanket,square
82,,hamburger,round
83,,drawer pull,round
84,,grill,round
85,,reflector,square
86,,topping,round
87,,front light,round
88,,connector,round
89,,garbage can,round
90,,placard,square
91,,switch,square
92,,hanger,round
93,,foot,round
94,,toe,round
95,,cap,round
96,,utensil,round
97,,onion,round
98,,shelf,rectangle
99,,table.,round
100,,egg,oval
101,,chocolate piece,round
102,,flower bed,round
103,,melon,round
104,,necklace,rhombus
105,,pitcher's mound,round
106,,gas cap,round
107,,plum,round
108,,bear,round
109,,sail,triangle
110,,meter,round
111,,meatball,round
112,,candy,round
113,,port,round
114,,kitchen table,round
115,,tomato,round
116,,left wheel,round
117,,parking meter,round
118,,detail,square
119,,ceramic tile,square
120,,toast,triangle
121,,pepper,round
122,,canvas,square
123,,cardboard sign,square
124,,white frisbee,round
125,,cooler,round
126,,lighting,round
127,,right ear,round
128,,graphic,round
129,,diamond shape,rhombus
130,,cracker w/cheese,round
131,,copyright symbol,round
132,,touchpad,square
133,,hay,square
134,,cherry tomato,round
135,,light globe,round
136,,cord,round
137,,knife,round
138,,towel ring,round
139,,metal armrest,round
140,,necktie,heart
