Descriptor1,Item1,Descriptor2,Item2,Label
an,airplane,an,apple,yes
an,airplane,a,butterfly,yes
an,airplane,an,eye,yes
an,airplane,a,banana,yes
an,airplane,a,bicycle,yes
an,airplane,a,cat,yes
an,airplane,a,bird,yes
an,airplane,a,bottle,yes
an,airplane,a,knife,yes
an,airplane,a,face,yes
an,airplane,a,clock,yes
an,airplane,wireless,headphones,yes
an,airplane,a,hen,yes
an,airplane,a,microscope,yes
an,airplane,a,watermelon,yes
an,airplane,a,dog,yes
an,airplane,a,shoe,yes
an,airplane,a,dolphin,yes
an,airplane,a,bag,yes
an,airplane,a,hat,yes
an,airplane,a,dress,yes
an,airplane,a,human,yes
an,airplane,a,sofa,yes
an,airplane,a,chair,yes
an,airplane,a,window,yes
an,airplane,an,SUV,yes
an,airplane,a,door,yes
an,airplane,a,horse,yes
an,airplane,a,swan,yes
an,airplane,a,tree,yes
an,airplane,a,boat,yes
an,airplane,a,cow,yes
an,airplane,a,sheep,yes
an,airplane,a,motorbike,yes
an,apple,a,butterfly,yes
an,apple,an,eye,yes
a,bicycle,a,butterfly,yes
a,bicycle,an,eye,yes
a,bicycle,a,cat,yes
a,bicycle,an,apple,yes
a,bicycle,a,banana,yes
a,bicycle,a,bird,yes
a,bicycle,a,bottle,yes
a,bicycle,a,knife,yes
a,bicycle,a,face,yes
a,bicycle,a,clock,yes
a,bicycle,wireless,headphones,yes
a,bicycle,a,hen,yes
a,bicycle,a,microscope,yes
a,bicycle,a,watermelon,yes
a,bottle,an,eye,yes
a,bottle,a,knife,yes
a,bottle,a,butterfly,yes
a,cat,an,apple,yes
a,cat,a,butterfly,yes
a,cat,an,eye,yes
a,cat,a,banana,yes
a,cat,a,bird,yes
a,cat,a,bottle,yes
a,cat,a,knife,yes
a,cat,a,face,yes
a,clock,an,apple,yes
a,clock,a,butterfly,yes
a,clock,an,eye,yes
a,dog,an,apple,yes
a,dog,a,butterfly,yes
a,dog,an,eye,yes
a,dog,a,banana,yes
a,dog,a,bottle,yes
a,dog,a,knife,yes
a,dog,a,face,yes
a,dog,a,microscope,yes
a,dog,a,shoe,yes
a,dolphin,an,apple,yes
a,dolphin,a,butterfly,yes
a,dolphin,an,eye,yes
a,dolphin,a,bag,yes
a,dolphin,a,hat,yes
a,dolphin,a,cat,yes
a,dolphin,a,banana,yes
a,dolphin,a,bird,yes
a,dolphin,a,bottle,yes
a,dolphin,a,knife,yes
a,dolphin,a,face,yes
a,dolphin,a,dress,yes
a,dolphin,wireless,headphones,yes
a,dolphin,a,hen,yes
a,dolphin,a,microscope,yes
a,dolphin,a,watermelon,yes
a,dress,an,apple,yes
a,dress,a,butterfly,yes
a,dress,an,eye,yes
a,dress,a,bag,yes
a,dress,a,hat,yes
a,dress,a,banana,yes
a,dress,a,bottle,yes
a,dress,a,knife,yes
a,dress,wireless,headphones,yes
a,hat,an,eye,yes
wireless,headphones,a,butterfly,yes
wireless,headphones,an,eye,yes
a,hen,a,banana,yes
a,hen,a,butterfly,yes
a,hen,an,eye,yes
a,hen,a,knife,yes
a,human,an,apple,yes
a,human,a,butterfly,yes
a,human,an,eye,yes
a,human,a,bag,yes
a,human,a,hat,yes
a,human,a,bird,yes
a,human,a,cat,yes
a,human,a,banana,yes
a,human,a,bottle,yes
a,human,a,knife,yes
a,human,a,face,yes
a,human,a,dog,yes
a,human,a,microscope,yes
a,human,a,shoe,yes
a,human,a,watermelon,yes
a,shoe,a,banana,yes
a,sofa,a,banana,yes
a,sofa,a,bird,yes
a,sofa,an,apple,yes
a,sofa,a,butterfly,yes
a,sofa,an,eye,yes
a,sofa,a,bottle,yes
a,sofa,a,knife,yes
a,sofa,a,chair,yes
a,sofa,a,bag,yes
a,sofa,a,hat,yes
a,sofa,a,microscope,yes
a,sofa,a,shoe,yes
a,sofa,a,clock,yes
a,sofa,a,dog,yes
a,sofa,a,face,yes
a,sofa,a,hen,yes
a,sofa,a,watermelon,yes
a,sofa,a,window,yes
a,sofa,wireless,headphones,yes
an,SUV,a,bag,yes
an,SUV,an,apple,yes
an,SUV,a,butterfly,yes
an,SUV,an,eye,yes
an,SUV,a,hat,yes
an,SUV,a,bird,yes
an,SUV,a,cat,yes
an,SUV,a,banana,yes
an,SUV,a,bottle,yes
an,SUV,a,knife,yes
an,SUV,a,face,yes
an,SUV,a,chair,yes
an,SUV,a,microscope,yes
an,SUV,a,shoe,yes
an,SUV,a,clock,yes
an,SUV,a,dolphin,yes
an,SUV,a,dress,yes
an,SUV,wireless,headphones,yes
an,SUV,a,hen,yes
an,SUV,a,watermelon,yes
an,SUV,a,door,yes
an,SUV,a,horse,yes
an,SUV,a,human,yes
an,SUV,a,dog,yes
an,SUV,a,swan,yes
a,tree,a,bag,yes
a,tree,an,apple,yes
a,tree,a,butterfly,yes
a,tree,an,eye,yes
a,tree,a,hat,yes
a,tree,a,bicycle,yes
a,tree,a,cat,yes
a,tree,a,banana,yes
a,tree,a,bird,yes
a,tree,a,bottle,yes
a,tree,a,knife,yes
a,tree,a,face,yes
a,tree,a,clock,yes
a,tree,wireless,headphones,yes
a,tree,a,hen,yes
a,tree,a,microscope,yes
a,tree,a,watermelon,yes
a,tree,a,boat,yes
a,tree,a,chair,yes
a,tree,a,shoe,yes
a,tree,a,dog,yes
a,tree,a,human,yes
a,tree,a,cow,yes
a,tree,a,sheep,yes
a,tree,a,dress,yes
a,tree,a,motorbike,yes
a,bag,an,apple,yes
a,bag,a,butterfly,yes
a,bag,an,eye,yes
a,bag,a,hat,yes
a,bird,an,apple,yes
a,bird,a,butterfly,yes
a,bird,an,eye,yes
a,boat,an,apple,yes
a,boat,a,butterfly,yes
a,boat,an,eye,yes
a,boat,a,bicycle,yes
a,boat,a,cat,yes
a,boat,a,banana,yes
a,boat,a,bird,yes
a,boat,a,bottle,yes
a,boat,a,knife,yes
a,boat,a,face,yes
a,boat,a,clock,yes
a,boat,wireless,headphones,yes
a,boat,a,hen,yes
a,boat,a,microscope,yes
a,boat,a,watermelon,yes
a,boat,a,chair,yes
a,boat,a,bag,yes
a,boat,a,hat,yes
a,boat,a,shoe,yes
a,boat,a,dog,yes
a,boat,a,human,yes
a,butterfly,an,eye,yes
a,car,an,apple,yes
a,car,a,butterfly,yes
a,car,an,eye,yes
a,car,a,bag,yes
a,car,a,hat,yes
a,car,a,banana,yes
a,car,a,bicycle,yes
a,car,a,cat,yes
a,car,a,bird,yes
a,car,a,bottle,yes
a,car,a,knife,yes
a,car,a,face,yes
a,car,a,clock,yes
a,car,wireless,headphones,yes
